feature,importance
metal_event_rate,2349
rank_trend,1935
athletes_count,1908
medals_per_athlete,1602
unique_events_last,1428
veteran_ratio,1379
gold_event_rate,1288
sport_growth,1176
hhi_sport,1164
gold_per_athlete,1130
event_growth,1093
total_3_games_avg,1087
total_std,999
athletes_growth_rate,951
metal_growth_game_rate,932
best_rank_last_3,896
metal_growth_noc_rate,890
unique_sports_last,861
metal_num,858
metal_event_avg,856
gold_std,791
gold_event_avg,755
gold_3_games_avg,658
gold_num,447
participation_times,399
gold_growth_noc_rate,388
star_athlete_num,386
ishost,308
best_total,284
consistent_sports,228
best_gold,222
gold_growth_game_rate,153
years_since_last_medal,124
dominant_sport,34
is_host_history,0
ishost_hostrate_gold,0
ishost_hostrate_metal,0
